index,product_id,category,sub_category,cost_price,list_price
84,OFF-ST-10003656,Office Supplies,Storage,210,230
85,FUR-CH-10000863,Furniture,Chairs,260,300
86,TEC-AC-10001998,Technology,Accessories,20,20
87,OFF-LA-10000134,Office Supplies,Labels,10,10
88,OFF-ST-10003442,Office Supplies,Storage,140,160
89,OFF-AR-10004930,Office Supplies,Art,20,20
90,TEC-PH-10004093,Technology,Phones,60,70
91,OFF-PA-10000304,Office Supplies,Paper,10,10
92,OFF-PA-10003177,Office Supplies,Paper,10,10
93,FUR-FU-10003799,Furniture,Furnishings,50,50
94,OFF-BI-10002852,Office Supplies,Binders,20,30
95,OFF-BI-10004738,Office Supplies,Binders,10,10
96,FUR-FU-10000629,Furniture,Furnishings,80,100
97,OFF-BI-10001721,Office Supplies,Binders,40,50
98,OFF-AP-10000358,Office Supplies,Appliances,70,80
99,OFF-PA-10003256,Office Supplies,Paper,60,60
100,TEC-AC-10001767,Technology,Accessories,80,100
101,OFF-BI-10002609,Office Supplies,Binders,0,0
102,OFF-PA-10004040,Office Supplies,Paper,20,20
103,TEC-AC-10001552,Technology,Accessories,220,240
104,FUR-FU-10004006,Furniture,Furnishings,90,100
105,OFF-BI-10002794,Office Supplies,Binders,30,40
106,TEC-AC-10003499,Technology,Accessories,60,70
107,TEC-PH-10002844,Technology,Phones,30,30
108,OFF-AR-10000390,Office Supplies,Art,0,0
109,TEC-AC-10000844,Technology,Accessories,290,340
110,FUR-FU-10001934,Furniture,Furnishings,30,40
111,OFF-AR-10000380,Office Supplies,Art,70,80
112,OFF-BI-10003981,Office Supplies,Binders,30,30
113,OFF-FA-10000621,Office Supplies,Fasteners,40,40
114,OFF-EN-10002600,Office Supplies,Envelopes,0,0
115,OFF-PA-10004965,Office Supplies,Paper,20,20
116,OFF-EN-10002504,Office Supplies,Envelopes,120,130
117,FUR-TA-10001768,Furniture,Tables,720,790
118,FUR-FU-10002157,Furniture,Furnishings,50,50
119,OFF-BI-10003910,Office Supplies,Binders,20,30
120,OFF-ST-10000777,Office Supplies,Storage,190,230
121,OFF-EN-10002500,Office Supplies,Envelopes,110,120
122,TEC-PH-10003875,Technology,Phones,60,70
123,FUR-CH-10004063,Furniture,Chairs,550,600
124,FUR-TA-10004534,Furniture,Tables,540,620
125,OFF-BI-10003274,Office Supplies,Binders,0,0
126,OFF-ST-10002974,Office Supplies,Storage,200,240
127,FUR-CH-10001146,Furniture,Chairs,70,80
128,FUR-FU-10003773,Furniture,Furnishings,220,240
129,TEC-PH-10002293,Technology,Phones,50,60
130,OFF-PA-10002377,Office Supplies,Paper,80,80
131,OFF-FA-10002780,Office Supplies,Fasteners,20,20
132,OFF-PA-10001804,Office Supplies,Paper,20,20
133,OFF-PA-10001736,Office Supplies,Paper,30,40
134,OFF-AR-10001149,Office Supplies,Art,10,10
135,OFF-FA-10002988,Office Supplies,Fasteners,0,0
136,OFF-BI-10004781,Office Supplies,Binders,70,80
137,OFF-SU-10001218,Office Supplies,Supplies,60,70
138,FUR-FU-10001706,Furniture,Furnishings,40,40
139,FUR-FU-10004848,Furniture,Furnishings,60,80
140,OFF-AR-10000940,Office Supplies,Art,10,10
141,OFF-EN-10004030,Office Supplies,Envelopes,10,10
142,OFF-PA-10004327,Office Supplies,Paper,130,140
143,OFF-AP-10001058,Office Supplies,Appliances,780,840
144,OFF-ST-10003656,Office Supplies,Storage,600,670
145,FUR-FU-10000521,Furniture,Furnishings,80,90
146,TEC-PH-10000215,Technology,Phones,350,380
147,TEC-PH-10001448,Technology,Phones,140,150
148,FUR-CH-10000454,Furniture,Chairs,1580,1950
149,OFF-BI-10002735,Office Supplies,Binders,150,170
150,OFF-AP-10000326,Office Supplies,Appliances,140,160
151,TEC-PH-10001254,Technology,Phones,160,200
152,OFF-PA-10001950,Office Supplies,Paper,50,60
153,OFF-PA-10002254,Office Supplies,Paper,100,110
154,OFF-ST-10001590,Office Supplies,Storage,60,80
155,OFF-AR-10001547,Office Supplies,Art,10,10
156,FUR-CH-10004063,Furniture,Chairs,380,460
157,OFF-LA-10002475,Office Supplies,Labels,10,10
158,TEC-PH-10004536,Technology,Phones,870,940
159,OFF-PA-10002751,Office Supplies,Paper,10,10
160,TEC-AC-10003657,Technology,Accessories,40,50
161,OFF-EN-10001990,Office Supplies,Envelopes,30,30
162,OFF-BI-10004002,Office Supplies,Binders,20,30
163,OFF-AR-10004441,Office Supplies,Art,10,10
164,TEC-MA-10000822,Technology,Machines,6850,8160
165,OFF-ST-10000991,Office Supplies,Storage,250,280
166,FUR-CH-10004287,Furniture,Chairs,1620,1740
167,OFF-AR-10002656,Office Supplies,Art,30,30
168,OFF-AP-10002518,Office Supplies,Appliances,150,180
169,TEC-PH-10003931,Technology,Phones,120,140
170,OFF-PA-10000659,Office Supplies,Paper,20,20
171,OFF-PA-10001144,Office Supplies,Paper,100,110
172,FUR-CH-10003817,Furniture,Chairs,290,340
173,OFF-AP-10000891,Office Supplies,Appliances,50,50
174,OFF-LA-10003148,Office Supplies,Labels,20,20
175,OFF-AP-10002684,Office Supplies,Appliances,90,100
176,FUR-CH-10004698,Furniture,Chairs,370,400
177,OFF-SU-10002189,Office Supplies,Supplies,20,20
178,OFF-AR-10001940,Office Supplies,Art,0,0
179,OFF-ST-10003455,Office Supplies,Storage,20,20
180,TEC-AC-10004659,Technology,Accessories,380,410
181,TEC-PH-10003273,Technology,Phones,470,500
182,TEC-PH-10004896,Technology,Phones,140,150
183,TEC-AC-10002345,Technology,Accessories,30,30
184,OFF-BI-10001890,Office Supplies,Binders,10,10
185,TEC-AC-10002323,Technology,Accessories,160,180
186,OFF-ST-10001328,Office Supplies,Storage,40,40
187,OFF-PA-10001950,Office Supplies,Paper,20,20
188,FUR-BO-10002613,Furniture,Bookcases,820,900
189,TEC-PH-10001552,Technology,Phones,60,70
190,OFF-PA-10000061,Office Supplies,Paper,50,50
191,FUR-BO-10002545,Furniture,Bookcases,520,630
192,OFF-AR-10003514,Office Supplies,Art,20,20
193,OFF-EN-10001509,Office Supplies,Envelopes,10,10
194,OFF-AR-10004685,Office Supplies,Art,10,10
195,OFF-AR-10004027,Office Supplies,Art,10,10
196,OFF-ST-10001414,Office Supplies,Storage,40,50
197,OFF-BI-10000343,Office Supplies,Binders,0,0
198,OFF-PA-10002749,Office Supplies,Paper,20,20
199,OFF-PA-10002666,Office Supplies,Paper,20,20
200,FUR-TA-10004289,Furniture,Tables,200,220
201,OFF-AP-10003622,Office Supplies,Appliances,0,0
202,OFF-AP-10003217,Office Supplies,Appliances,60,70
203,FUR-FU-10002960,Furniture,Furnishings,40,40
204,TEC-PH-10001918,Technology,Phones,370,440
205,OFF-ST-10000642,Office Supplies,Storage,70,80
206,TEC-PH-10001700,Technology,Phones,120,130
207,OFF-BI-10003274,Office Supplies,Binders,20,20
208,OFF-FA-10000134,Office Supplies,Fasteners,50,50
209,OFF-ST-10001522,Office Supplies,Storage,80,90
210,TEC-AC-10001266,Technology,Accessories,20,20
211,OFF-LA-10004544,Office Supplies,Labels,20,20
212,FUR-BO-10004695,Furniture,Bookcases,390,450
213,TEC-PH-10002844,Technology,Phones,50,60
214,TEC-MA-10000864,Technology,Machines,1040,1190
215,TEC-AC-10000109,Technology,Accessories,80,90
216,OFF-ST-10001328,Office Supplies,Storage,80,90
217,TEC-PH-10002563,Technology,Phones,250,300
218,OFF-FA-10000585,Office Supplies,Fasteners,10,10
219,OFF-PA-10004000,Office Supplies,Paper,20,20
220,OFF-BI-10002852,Office Supplies,Binders,20,20
221,FUR-FU-10000087,Furniture,Furnishings,60,70
222,TEC-MA-10001148,Technology,Machines,410,480
223,OFF-AR-10001958,Office Supplies,Art,30,30
224,OFF-AR-10001026,Office Supplies,Art,0,0
225,FUR-TA-10003748,Furniture,Tables,510,620
226,OFF-ST-10002485,Office Supplies,Storage,20,20
227,FUR-CH-10004860,Furniture,Chairs,130,160
228,FUR-CH-10004477,Furniture,Chairs,360,390
229,OFF-BI-10001679,Office Supplies,Binders,20,20
230,FUR-TA-10001705,Furniture,Tables,210,230
231,FUR-TA-10003473,Furniture,Tables,510,620
232,OFF-BI-10001679,Office Supplies,Binders,10,10
233,FUR-FU-10004017,Furniture,Furnishings,250,260
234,TEC-AC-10003832,Technology,Accessories,500,620
235,OFF-PA-10002479,Office Supplies,Paper,10,10
236,OFF-PA-10003349,Office Supplies,Paper,30,30
237,FUR-FU-10000576,Furniture,Furnishings,340,420
238,FUR-FU-10004351,Furniture,Furnishings,10,10
239,TEC-PH-10000011,Technology,Phones,30,30
240,FUR-TA-10002607,Furniture,Tables,150,180
241,FUR-FU-10002505,Furniture,Furnishings,0,0
243,FUR-CH-10004063,Furniture,Chairs,1620,2000
244,OFF-ST-10002276,Office Supplies,Storage,150,170
245,OFF-PA-10004082,Office Supplies,Paper,40,50
246,OFF-AP-10002945,Office Supplies,Appliances,1380,1500
247,OFF-PA-10000061,Office Supplies,Paper,20,30
248,FUR-CH-10002965,Furniture,Chairs,300,320
249,OFF-PA-10004569,Office Supplies,Paper,10,10
250,TEC-AC-10003832,Technology,Accessories,3050,3350
251,OFF-ST-10001228,Office Supplies,Storage,70,80
252,OFF-EN-10003296,Office Supplies,Envelopes,330,360
253,FUR-FU-10002505,Furniture,Furnishings,10,10
254,OFF-ST-10004804,Office Supplies,Storage,70,80
255,OFF-ST-10001590,Office Supplies,Storage,40,50
256,TEC-PH-10001580,Technology,Phones,590,650
257,TEC-AC-10000290,Technology,Accessories,20,20
258,OFF-ST-10002790,Office Supplies,Storage,180,220
259,OFF-BI-10003460,Office Supplies,Binders,20,20
260,OFF-AP-10002203,Office Supplies,Appliances,0,0
261,TEC-MA-10000822,Technology,Machines,2690,3060
262,TEC-MA-10003353,Technology,Machines,2170,2520
263,TEC-PH-10001433,Technology,Phones,300,330
264,TEC-AC-10004469,Technology,Accessories,70,80
265,OFF-AR-10003602,Office Supplies,Art,10,10
266,OFF-FA-10003472,Office Supplies,Fasteners,10,10
267,OFF-ST-10004180,Office Supplies,Storage,30,40
268,OFF-EN-10004386,Office Supplies,Envelopes,50,60
269,OFF-ST-10003208,Office Supplies,Storage,590,730
270,TEC-AC-10003628,Technology,Accessories,200,210
271,FUR-FU-10003274,Furniture,Furnishings,10,10
272,OFF-BI-10002557,Office Supplies,Binders,10,10
273,OFF-PA-10002615,Office Supplies,Paper,10,10
274,OFF-AR-10001427,Office Supplies,Art,10,10
275,OFF-PA-10000673,Office Supplies,Paper,10,10
276,OFF-PA-10004470,Office Supplies,Paper,20,20
277,OFF-ST-10000876,Office Supplies,Storage,50,60
278,OFF-LA-10002043,Office Supplies,Labels,20,20
279,OFF-BI-10004967,Office Supplies,Binders,0,0
280,TEC-PH-10001760,Technology,Phones,1050,1110
281,FUR-TA-10002903,Furniture,Tables,950,1040
282,OFF-PA-10000474,Office Supplies,Paper,130,140
283,TEC-AC-10001956,Technology,Accessories,210,240
284,OFF-PA-10004100,Office Supplies,Paper,30,30
285,OFF-BI-10000778,Office Supplies,Binders,230,250
286,OFF-AP-10002684,Office Supplies,Appliances,150,190
287,OFF-SU-10000646,Office Supplies,Supplies,810,960
288,OFF-FA-10002983,Office Supplies,Fasteners,20,20
289,OFF-LA-10004689,Office Supplies,Labels,20,20
290,TEC-AC-10002001,Technology,Accessories,220,260
291,FUR-BO-10004709,Furniture,Bookcases,80,90
292,FUR-FU-10004091,Furniture,Furnishings,280,300
293,FUR-CH-10001891,Furniture,Chairs,190,230
294,FUR-FU-10002918,Furniture,Furnishings,180,220
295,OFF-BI-10004593,Office Supplies,Binders,70,80
296,OFF-FA-10004854,Office Supplies,Fasteners,30,30
297,OFF-PA-10002105,Office Supplies,Paper,20,30
298,OFF-ST-10002756,Office Supplies,Storage,930,1080
299,OFF-PA-10004243,Office Supplies,Paper,50,60
300,FUR-FU-10001861,Furniture,Furnishings,70,80
301,OFF-BI-10002706,Office Supplies,Binders,10,10
302,FUR-TA-10002533,Furniture,Tables,180,220
303,FUR-FU-10002671,Furniture,Furnishings,20,30
304,OFF-AR-10003651,Office Supplies,Art,10,10
305,OFF-BI-10001072,Office Supplies,Binders,50,50
306,OFF-AR-10002135,Office Supplies,Art,250,290
307,OFF-AR-10002804,Office Supplies,Art,0,0
308,FUR-FU-10001918,Furniture,Furnishings,20,20
309,FUR-CH-10004086,Furniture,Chairs,400,470
310,FUR-FU-10001756,Furniture,Furnishings,20,20
311,OFF-LA-10000634,Office Supplies,Labels,10,10
312,FUR-FU-10001588,Furniture,Furnishings,80,90
313,TEC-PH-10002398,Technology,Phones,160,180
314,OFF-PA-10001937,Office Supplies,Paper,20,20
315,OFF-AR-10003373,Office Supplies,Art,90,100
316,FUR-CH-10002602,Furniture,Chairs,120,140
317,TEC-MA-10002927,Technology,Machines,3670,3990
318,TEC-PH-10004093,Technology,Phones,230,280
319,TEC-AC-10000892,Technology,Accessories,300,360
320,OFF-ST-10002974,Office Supplies,Storage,40,40
321,OFF-FA-10000624,Office Supplies,Fasteners,10,10
322,OFF-BI-10004593,Office Supplies,Binders,220,250
323,TEC-AC-10001908,Technology,Accessories,80,100
324,FUR-FU-10001967,Furniture,Furnishings,20,20
325,TEC-PH-10003645,Technology,Phones,270,290
326,OFF-ST-10000675,Office Supplies,Storage,40,50
327,FUR-CH-10003312,Furniture,Chairs,740,790
328,OFF-LA-10001074,Office Supplies,Labels,90,100
329,OFF-BI-10001524,Office Supplies,Binders,30,40
330,TEC-PH-10004614,Technology,Phones,70,80
331,OFF-BI-10001153,Office Supplies,Binders,20,20
332,OFF-BI-10001982,Office Supplies,Binders,0,0
333,OFF-BI-10001922,Office Supplies,Binders,0,0
334,TEC-CO-10001449,Technology,Copiers,770,960
335,OFF-BI-10004140,Office Supplies,Binders,10,10
336,OFF-BI-10003314,Office Supplies,Binders,10,10
337,FUR-TA-10004575,Furniture,Tables,570,700
338,OFF-FA-10000490,Office Supplies,Fasteners,0,0
339,OFF-AR-10000122,Office Supplies,Art,20,20
340,OFF-BI-10003656,Office Supplies,Binders,450,510
341,OFF-FA-10002780,Office Supplies,Fasteners,20,30
342,TEC-PH-10000702,Technology,Phones,60,70
343,OFF-ST-10000107,Office Supplies,Storage,80,90
344,TEC-PH-10002293,Technology,Phones,50,50
346,OFF-PA-10000249,Office Supplies,Paper,20,20
347,OFF-AR-10001374,Office Supplies,Art,10,10
348,TEC-AC-10000290,Technology,Accessories,10,10
349,OFF-PA-10001970,Office Supplies,Paper,20,20
350,OFF-BI-10002160,Office Supplies,Binders,0,0
351,OFF-PA-10001970,Office Supplies,Paper,50,50
352,OFF-BI-10004995,Office Supplies,Binders,4140,4360
353,FUR-BO-10002268,Furniture,Bookcases,350,390
354,OFF-EN-10001137,Office Supplies,Envelopes,10,10
355,OFF-AR-10002399,Office Supplies,Art,20,20
356,OFF-PA-10002713,Office Supplies,Paper,30,30
357,OFF-PA-10002666,Office Supplies,Paper,30,40
358,OFF-AP-10001124,Office Supplies,Appliances,600,650
359,OFF-LA-10001158,Office Supplies,Labels,20,20
361,FUR-CH-10000785,Furniture,Chairs,460,490
362,OFF-AR-10003732,Office Supplies,Art,10,10
363,FUR-FU-10000023,Furniture,Furnishings,40,50
364,OFF-ST-10001713,Office Supplies,Storage,200,210
365,OFF-BI-10002412,Office Supplies,Binders,20,20
366,OFF-SU-10001225,Office Supplies,Supplies,10,10
367,OFF-ST-10002406,Office Supplies,Storage,90,100
368,FUR-BO-10002545,Furniture,Bookcases,900,1040
369,OFF-PA-10002036,Office Supplies,Paper,30,30
370,OFF-ST-10002205,Office Supplies,Storage,40,50
371,OFF-BI-10001982,Office Supplies,Binders,10,10
372,TEC-AC-10003911,Technology,Accessories,870,1020
373,OFF-AR-10000658,Office Supplies,Art,10,10
374,TEC-AC-10002076,Technology,Accessories,410,480
375,OFF-PA-10003039,Office Supplies,Paper,80,100
376,FUR-TA-10004915,Furniture,Tables,1300,1490
377,OFF-AP-10000696,Office Supplies,Appliances,10,10
378,OFF-ST-10003327,Office Supplies,Storage,20,20
379,OFF-BI-10000309,Office Supplies,Binders,10,10
380,OFF-PA-10004734,Office Supplies,Paper,40,50
381,OFF-BI-10002225,Office Supplies,Binders,50,50
382,TEC-AC-10004708,Technology,Accessories,40,40
383,FUR-TA-10000617,Furniture,Tables,330,380
384,TEC-AC-10002335,Technology,Accessories,70,80
385,TEC-MA-10001681,Technology,Machines,400,480
386,FUR-FU-10001935,Furniture,Furnishings,0,0
387,OFF-AR-10004757,Office Supplies,Art,0,0
388,OFF-BI-10000050,Office Supplies,Binders,20,20
389,TEC-AC-10001998,Technology,Accessories,40,40
390,TEC-PH-10003012,Technology,Phones,230,250
391,TEC-CO-10002313,Technology,Copiers,1600,1800
392,OFF-BI-10003982,Office Supplies,Binders,10,10
393,OFF-BI-10004492,Office Supplies,Binders,60,80
394,OFF-ST-10000798,Office Supplies,Storage,40,50
395,OFF-PA-10002552,Office Supplies,Paper,10,10
396,OFF-SU-10002573,Office Supplies,Supplies,60,70
397,OFF-ST-10001580,Office Supplies,Storage,40,40
398,FUR-BO-10004834,Furniture,Bookcases,1990,2400
399,OFF-ST-10000934,Office Supplies,Storage,110,130
400,TEC-AC-10000158,Technology,Accessories,60,60
401,OFF-PA-10001947,Office Supplies,Paper,10,10
402,OFF-AR-10003478,Office Supplies,Art,30,40
403,OFF-AP-10004249,Office Supplies,Appliances,40,40
404,TEC-AC-10000158,Technology,Accessories,140,180
405,TEC-CO-10004115,Technology,Copiers,1130,1200
406,OFF-PA-10003724,Office Supplies,Paper,30,30
407,FUR-TA-10002041,Furniture,Tables,800,1000
408,OFF-PA-10002893,Office Supplies,Paper,10,10
409,OFF-LA-10003766,Office Supplies,Labels,30,30
410,OFF-PA-10001970,Office Supplies,Paper,60,60
411,FUR-BO-10001972,Furniture,Bookcases,1260,1340
412,FUR-CH-10003956,Furniture,Chairs,100,110
413,OFF-PA-10000157,Office Supplies,Paper,120,140
414,FUR-CH-10001891,Furniture,Chairs,250,310
415,OFF-AR-10004344,Office Supplies,Art,90,100
416,FUR-CH-10004886,Furniture,Chairs,320,380
417,OFF-PA-10003845,Office Supplies,Paper,10,10
418,OFF-AR-10001573,Office Supplies,Art,10,10
419,OFF-EN-10000483,Office Supplies,Envelopes,20,20
420,TEC-AC-10004114,Technology,Accessories,160,200
421,FUR-FU-10004712,Furniture,Furnishings,60,60
422,OFF-ST-10000918,Office Supplies,Storage,30,30
423,FUR-CH-10000015,Furniture,Chairs,800,870
424,FUR-FU-10003347,Furniture,Furnishings,30,30
425,OFF-BI-10001543,Office Supplies,Binders,280,290
426,TEC-MA-10000029,Technology,Machines,60,70
427,OFF-AR-10000369,Office Supplies,Art,10,10
428,OFF-BI-10004584,Office Supplies,Binders,160,190
429,TEC-AC-10004659,Technology,Accessories,330,410
430,TEC-AC-10004659,Technology,Accessories,270,290
431,OFF-ST-10000617,Office Supplies,Storage,0,0
432,OFF-ST-10003306,Office Supplies,Storage,580,710
433,OFF-BI-10000773,Office Supplies,Binders,0,0
434,TEC-AC-10002600,Technology,Accessories,210,250
435,TEC-MA-10002937,Technology,Machines,930,1010
436,OFF-PA-10001970,Office Supplies,Paper,270,310
437,OFF-PA-10002230,Office Supplies,Paper,30,30
438,FUR-CH-10003396,Furniture,Chairs,190,210
439,FUR-FU-10000246,Furniture,Furnishings,10,10
440,OFF-ST-10000060,Office Supplies,Storage,150,190
441,OFF-ST-10003058,Office Supplies,Storage,60,70
442,OFF-PA-10002222,Office Supplies,Paper,80,90
443,FUR-CH-10002372,Furniture,Chairs,210,240
444,OFF-LA-10001317,Office Supplies,Labels,20,20
445,FUR-FU-10000206,Furniture,Furnishings,0,0
446,OFF-AR-10000588,Office Supplies,Art,50,60
447,OFF-ST-10001469,Office Supplies,Storage,130,160
448,OFF-AR-10001953,Office Supplies,Art,210,260
449,OFF-AR-10003156,Office Supplies,Art,30,30
450,OFF-AR-10004974,Office Supplies,Art,10,10
451,TEC-PH-10002365,Technology,Phones,40,40
452,FUR-TA-10001539,Furniture,Tables,220,280
453,OFF-ST-10000142,Office Supplies,Storage,570,670
454,TEC-AC-10001772,Technology,Accessories,50,60
455,FUR-CH-10000225,Furniture,Chairs,120,130
456,FUR-CH-10002331,Furniture,Chairs,670,750
457,OFF-EN-10001415,Office Supplies,Envelopes,10,10
458,OFF-AP-10002472,Office Supplies,Appliances,80,100
459,TEC-AC-10004571,Technology,Accessories,760,900
460,OFF-BI-10001098,Office Supplies,Binders,50,50
461,FUR-FU-10000023,Furniture,Furnishings,20,20
462,FUR-TA-10001889,Furniture,Tables,1080,1270
463,OFF-BI-10000315,Office Supplies,Binders,30,30
464,OFF-SU-10003505,Office Supplies,Supplies,180,190
465,OFF-AP-10002578,Office Supplies,Appliances,80,80
466,FUR-FU-10002918,Furniture,Furnishings,200,250
467,FUR-BO-10002824,Furniture,Bookcases,200,210
468,OFF-BI-10002194,Office Supplies,Binders,0,0
469,OFF-PA-10004071,Office Supplies,Paper,50,60
470,OFF-ST-10002743,Office Supplies,Storage,290,340
471,FUR-BO-10001601,Furniture,Bookcases,200,220
472,TEC-PH-10002680,Technology,Phones,610,700
473,OFF-ST-10001321,Office Supplies,Storage,80,90
474,OFF-PA-10001509,Office Supplies,Paper,60,60
475,OFF-PA-10003465,Office Supplies,Paper,90,90
476,TEC-PH-10000149,Technology,Phones,90,100
477,FUR-FU-10002671,Furniture,Furnishings,30,40
478,OFF-AR-10003045,Office Supplies,Art,10,10
479,OFF-ST-10000689,Office Supplies,Storage,600,700
480,TEC-AC-10001445,Technology,Accessories,10,10
482,TEC-AC-10002567,Technology,Accessories,140,160
483,OFF-LA-10003923,Office Supplies,Labels,30,30
484,FUR-BO-10001337,Furniture,Bookcases,480,510
485,TEC-PH-10001924,Technology,Phones,250,280
486,TEC-PH-10001363,Technology,Phones,2300,2740
487,TEC-PH-10000376,Technology,Phones,10,10
488,TEC-AC-10000303,Technology,Accessories,50,60
489,OFF-AR-10001953,Office Supplies,Art,70,70
490,OFF-ST-10001809,Office Supplies,Storage,410,450
491,OFF-EN-10003845,Office Supplies,Envelopes,10,10
492,TEC-AC-10000991,Technology,Accessories,80,90
493,FUR-TA-10001857,Furniture,Tables,180,190
494,OFF-EN-10001434,Office Supplies,Envelopes,100,110
495,OFF-BI-10002498,Office Supplies,Binders,110,120
496,FUR-FU-10004864,Furniture,Furnishings,230,260
497,FUR-CH-10002602,Furniture,Chairs,200,240
498,FUR-FU-10000073,Furniture,Furnishings,60,70
499,OFF-BI-10001670,Office Supplies,Binders,20,20
500,OFF-BI-10001658,Office Supplies,Binders,10,10
501,FUR-CH-10001215,Furniture,Chairs,650,800
502,OFF-BI-10000831,Office Supplies,Binders,0,0
503,OFF-PA-10000357,Office Supplies,Paper,30,30
505,OFF-AR-10001662,Office Supplies,Art,0,0
506,OFF-AR-10003856,Office Supplies,Art,10,10
507,OFF-ST-10001228,Office Supplies,Storage,50,50
508,OFF-BI-10003527,Office Supplies,Binders,5210,6350
509,FUR-FU-10001290,Furniture,Furnishings,110,130
510,TEC-AC-10002399,Technology,Accessories,40,40
